"CGY24.17"	"CGY29.01"	"CGY24.21"	"CGY20.46"	"CGY24.16"	"CGY20.50"	"CGY24.09"	"CGY28.53"	"CGY28.50"	"CGY28.49"	"CGY28.52"	"CGY20.55"
"ERCC-00092"	0	0	0	0	0	0	0	0	0	0	0	0
"ERCC-00095"	0	0	0	0	0	0	0	0	0	0	0	0
"ERCC-00096"	0	0	0	0	0	0	0	0	0	0	0	0
"ERCC-00097"	0	0	0	0	0	0	0	0	0	0	0	0
"ERCC-00098"	0	0	0	0	0	0	0	0	0	0	0	0
"ERCC-00099"	0	0	0	0	0	0	0	0	0	0	0	0
"ERCC-00104"	0	0	0	0	0	0	0	0	0	0	0	0
"ERCC-00108"	0	0	0	0	0	0	0	0	0	0	0	0
"ERCC-00109"	0	0	0	0	0	0	0	0	0	0	0	0
"ERCC-00111"	0	0	0	0	0	0	0	0	0	0	0	0
"ERCC-00112"	0	0	0	0	0	0	0	0	0	0	0	0
"ERCC-00113"	0	0	0	0	0	0	0	0	0	0	0	0
"ERCC-00116"	0	0	0	0	0	0	0	0	0	0	0	0
"ERCC-00117"	0	0	0	0	0	0	0	0	0	0	0	0
"ERCC-00120"	0	0	0	0	0	0	0	0	0	0	0	0
"ERCC-00123"	0	0	0	0	0	0	0	0	0	0	0	0
"ERCC-00126"	0	0	0	0	0	0	0	0	0	0	0	0
"ERCC-00128"	0	0	0	0	0	0	0	0	0	0	0	0
"ERCC-00130"	0	0	0	0	0	0	0	0	0	0	0	0
"ERCC-00131"	0	0	0	0	0	0	0	0	0	0	0	0
"ERCC-00134"	0	0	0	0	0	0	0	0	0	0	0	0
"ERCC-00136"	0	0	0	0	0	0	0	0	0	0	0	0
"ERCC-00137"	0	0	0	0	0	0	0	0	0	0	0	0
"ERCC-00138"	0	0	0	0	0	0	0	0	0	0	0	0
"ERCC-00142"	0	0	0	0	0	0	0	0	0	0	0	0
"ERCC-00143"	0	0	0	0	0	0	0	0	0	0	0	0
"ERCC-00144"	0	0	0	0	0	0	0	0	0	0	0	0
"ERCC-00145"	0	0	0	0	0	0	0	0	0	0	0	0
"ERCC-00147"	0	0	0	0	0	0	0	0	0	0	0	0
"ERCC-00148"	0	0	0	0	0	0	0	0	0	0	0	0
"ERCC-00150"	0	0	0	0	0	0	0	0	0	0	0	0
"ERCC-00154"	0	0	0	0	0	0	0	0	0	0	0	0
"ERCC-00156"	0	0	0	0	0	0	0	0	0	0	0	0
"ERCC-00157"	0	0	0	0	0	0	0	0	0	0	0	0
"ERCC-00158"	0	0	0	0	0	0	0	0	0	0	0	0
"ERCC-00160"	0	0	0	0	0	0	0	0	0	0	0	0
"ERCC-00162"	0	0	0	0	0	0	0	0	0	0	0	0
"ERCC-00163"	0	0	0	0	0	0	0	0	0	0	0	0
"ERCC-00164"	0	0	0	0	0	0	0	0	0	0	0	0
"ERCC-00165"	0	0	0	0	0	0	0	0	0	0	0	0
"ERCC-00168"	0	0	0	0	0	0	0	0	0	0	0	0
"ERCC-00170"	0	0	0	0	0	0	0	0	0	0	0	0
"ERCC-00171"	0	0	0	0	0	0	0	0	0	0	0	0
"YAL001C"	8.55092	9.4789	8.99611	8.80963	8.19967	6.5856	9.09095	6.74766	9.69833	6.34669	6.79927	8.99229
"YAL002W"	7.79522	7.84545	7.58069	7.5015	7.18866	7.43943	8.71259	7.66373	9.83268	8.00938	9.207	8.45072
"YAL003W"	2774.46	2710.87	2762.97	2787.07	2916.82	3158.77	2820.45	2923.5	2871.14	2646.62	2820.36	2699.28
"YAL005C"	514.505	547.573	441.993	472.582	496.582	412.803	433.634	423.775	460.24	458.813	444.98	439.136
"YAL007C"	181.929	183.748	184.678	174.129	177.745	175.178	180.45	165.349	187.562	185.556	201.845	184.169
"YAL008W"	39.6241	41.33	33.8012	41.3621	38.7766	36.5461	43.4779	31.2775	34.5403	40.6061	34.6738	41.3073
"YAL009W"	23.9386	24.6811	30.7139	25.3933	29.1106	27.5445	27.6483	25.0321	27.4055	22.808	26.5618	30.0002
"YAL010C"	8.08541	7.78637	7.47721	7.30699	8.01905	8.32128	7.97579	7.16846	7.94198	7.2486	9.11049	8.85652
"YAL011W"	10.0646	10.6086	12.6226	10.294	10.5151	9.16226	10.05	9.45992	10.4556	7.2802	9.60264	11.7792
"YAL012W"	423.581	440.112	427.394	448.064	492.601	454.62	449.487	536.358	463.69	529.278	470.071	458.364
"YAL013W"	18.8292	17.7629	20.5507	19.2832	21.0909	17.93	19.5696	19.1741	18.7201	16.72	15.929	17.4105
"YAL014C"	41.4071	42.0397	38.5996	39.1699	47.0536	45.3074	46.0015	40.6734	42.1016	42.9573	41.7703	40.192
"YAL015C"	15.4254	13.9289	15.702	14.4672	12.7347	11.7728	15.2852	14.6323	14.7747	12.0907	11.528	12.2649
"YAL016W"	61.8868	60.2176	59.9979	56.4142	58.2762	53.4234	61.4149	54.9385	64.8889	55.8543	62.722	64.6147
"YAL017W"	9.58781	10.3088	9.72894	9.91081	8.70381	7.64859	9.6955	8.7239	10.1647	8.77717	10.6796	10.6588
"YAL018C"	0	0.086635	0.103633	0.230706	0	0.198862	0	0.113093	0.118635	0.220411	0	0.372685
"YAL019W"	16.9181	16.9976	16.5773	16.0203	16.1903	16.3861	17.1316	15.7828	21.7827	13.3661	17.0294	19.6789
"YAL020C"	33.1082	27.8481	31.9072	30.1317	28.6255	28.0981	27.2773	33.167	31.3315	24.5057	28.0325	25.5728
"YAL021C"	19.8127	20.3223	18.1887	20.8659	20.1834	21.4952	19.0666	19.4284	20.6371	21.2441	21.168	19.0321
"YAL022C"	45.5565	44.3873	49.926	45.3892	48.5308	40.9473	50.7813	52.1838	46.889	48.1573	54.0664	46.6754
"YAL023C"	150.078	155.32	152.001	153.864	161.798	140.472	161.72	167.27	162.288	169.186	170.89	159.362
"YAL024C"	4.83098	5.01967	4.13962	4.40189	4.84488	4.14789	4.16076	4.40968	4.74477	3.92264	4.5604	5.60351
"YAL025C"	78.8761	79.4222	88.0607	78.3338	86.21	70.0816	87.3284	74.3554	80.8396	51.3598	60.1204	78.2211
"YAL026C"	18.6561	17.4935	15.5093	19.217	18.8106	15.988	18.6851	17.0399	20.5161	17.09	18.8406	19.0006
"YAL027W"	10.3532	12.7317	11.5418	12.8754	10.925	11.7454	11.75	10.687	9.82515	9.8445	7.99212	9.46672
"YAL028W"	3.06432	3.75264	3.8468	3.61207	2.51271	2.37916	4.02266	3.54386	2.89997	3.32364	2.13984	5.08857
"YAL029C"	19.3418	16.6195	16.7309	18.2975	17.0777	14.9227	17.1694	16.975	19.7302	14.8942	19.4962	18.9717
"YAL030W"	116.003	116.058	108.021	109.156	109.256	103.601	116.088	122.868	105.607	128.205	112.554	110.646
"YAL031C"	10.1435	9.83237	9.57098	7.83408	9.83726	10.1767	9.89482	10.3666	8.85262	8.06703	8.3489	9.70624
"YAL032C"	12.0731	12.5545	13.3018	14.3084	11.6875	12.2538	12.1383	10.8301	14.9044	9.63119	11.8758	11.0626
"YAL033W"	39.0062	40.3453	39.4675	41.9346	36.6427	38.5877	34.4101	40.2399	43.5798	27.1716	33.9203	39.5309
"YAL034C"	11.6205	11.6854	9.22502	9.12109	10.6488	10.8613	9.43034	12.6097	12.4075	11.0345	9.49251	11.5019
"YAL034W-A"	7.42482	9.40178	9.08641	7.99348	10.3047	9.98838	9.60985	7.05133	11.3785	5.09216	10.3497	8.46729
"YAL035W"	150.218	136.464	144.498	141.099	147.733	138.429	141.72	127.766	149.522	124.245	131.024	136.306
"YAL036C"	114.282	108.112	108.463	108.321	119.322	111.76	109.131	108.167	115.321	102.239	110.403	107.664
"YAL037C-A"	4.63475	0	0	0	4.4969	0	3.98138	0	0	0	0	0
"YAL037W"	2.51421	2.98202	2.77091	2.50165	2.68541	3.55014	2.96781	3.46095	3.33275	3.65657	3.38783	4.59807
"YAL038W"	4419.74	4270.58	4468.76	4143.84	4461.09	4126.99	4723.7	4638.21	4847.77	4776.03	4946.31	4682.21
"YAL039C"	28.9678	25.3827	30.457	26.6759	25.3348	21.9799	23.4056	27.5703	22.8085	24.2401	21.6733	22.6163
"YAL040C"	33.9615	31.7567	25.7549	30.2842	36.1593	29.4911	34.4858	37.1439	34.5545	40.0976	33.5538	35.1964
"YAL041W"	19.8773	18.137	19.7993	19.5281	19.7195	16.8833	20.0144	18.3285	22.2681	17.5296	20.828	19.9625
"YAL042W"	181.32	176.771	187.674	186.846	186.929	168.865	180.319	193.175	183.295	194.294	190.942	175.656
"YAL043C"	25.4975	22.7309	20.5578	23.3756	23.9896	20.8287	22.5039	22.5248	23.6389	25.0741	24.6752	20.8032
"YAL044C"	278.718	300.559	292.105	303.371	304.554	226.291	271.904	276.99	238.23	250.932	254.118	239.565
"YAL044W-A"	114.551	117.033	115.447	112.445	104.241	108.05	90.7163	107.131	102.102	94.8106	111.416	108.156
"YAL046C"	105.585	100.651	107.368	116.819	96.7664	92.537	97.8083	105.983	102.076	102.214	97.8277	92.2838
"YAL047C"	5.64846	5.14711	6.6656	4.32562	4.19024	4.53457	5.22147	5.21174	6.40788	3.86854	5.6138	6.2449
"YAL048C"	8.89824	7.49952	7.33348	6.6989	7.78248	6.61741	7.69117	5.72071	8.45083	7.51849	8.62339	6.38213
"YAL049C"	64.8536	71.2577	58.719	67.1862	63.9163	63.0857	64.9283	66.464	64.8203	65.0025	73.0886	70.2945
"YAL051W"	8.1263	7.59641	6.63335	7.68931	7.66689	8.038	8.11726	6.47401	9.77987	7.1606	7.18611	8.2033
"YAL053W"	35.0076	35.4244	32.7674	34.0092	36.3243	36.1461	34.9557	36.8917	34.1129	35.9653	35.4407	33.5144
"YAL054C"	2.66483	2.51864	2.97844	3.67873	2.95324	3.29592	2.99824	3.84167	2.85591	3.60208	2.53049	3.09516
"YAL055W"	23.2604	23.6439	24.1129	13.7794	17.8393	19.8329	18.2797	17.4035	17.8445	12.2234	13.4778	21.6263
"YAL056W"	16.4847	15.8111	16.0531	15.5277	15.7288	13.3658	15.535	14.0598	15.7005	14.0688	16.3882	16.703
"YAL058W"	21.6444	21.1111	23.5458	22.6596	22.6647	20.623	23.0125	22.3669	23.3435	21.5052	24.8469	20.8706
"YAL059W"	53.6264	53.9113	52.1666	53.185	54.3325	61.5719	56.4157	60.2705	57.9134	45.3317	54.1132	53.4821
"YAL060W"	114.232	113.095	114.767	117.979	134.409	82.9362	103.662	116.261	105.028	104.329	110.729	88.1956
"YAL061W"	2.85352	2.71144	4.02038	2.40529	3.13678	2.22226	2.93091	2.52769	1.94192	2.54337	2.38793	3.42147
"YAL062W"	1.80443	3.42901	2.22806	2.86087	3.36141	2.46724	3.41735	3.71654	3.09774	2.21521	2.29735	3.07924
"YAL063C"	0.866471	0.915618	1.03812	0.531143	0.760237	0.782954	0.688892	0.815598	0.838409	0.56799	0.576183	0.708906
"YAL063C-A"	1.25233	3.09934	6.07595	11.0641	3.60225	5.36558	3.78639	4.7299	7.21295	5.31561	6.71334	5.24532
"YAL064C-A"	0.785351	0	0.384179	0	0.754531	0.373631	0	0.424308	0.586066	0.371067	1.25765	0
"YAL064W"	3.89921	3.21663	3.15164	5.02319	4.98472	2.47529	5.0541	6.31117	3.7443	2.75838	5.57649	3.11073
"YAL064W-B"	1.17803	1.624	0	1.30385	1.1318	1.12089	2.02974	0.424308	2.25204	0.832683	1.67687	1.40972
"YAL065C"	1.21999	0.889132	0.00120437	2.15266	0.735262	0.00308468	1.18423	0.675506	1.38612	0.00225435	2.03797	0.916472
"YAL067C"	0.258884	0.86801	1.14477	0.750297	1.35512	1.69276	1.47665	1.75559	1.65911	1.65317	1.3826	2.04938
"YAL067W-A"	0.978182	0	0.941393	0	1.87161	0.932734	0.848135	0	0	0	0	9.03854e-06
"YAL068C"	0.000367163	0.000132476	0.416081	0.000115873	0.000334388	0	0.000315826	0.473666	0.000218683	0.00018665	3.95338e-05	0.55215
"YAR002C-A"	269.757	296.457	291.169	305.767	313.809	265.762	279.838	287.864	269.38	327.52	292.192	279.103
"YAR002W"	35.2984	33.825	37.0158	35.8104	34.2088	33.7671	35.9751	30.9162	37.5632	29.4753	31.7955	36.6716
"YAR003W"	26.6345	23.6205	26.706	26.6516	26.232	21.4649	26.9049	26.6347	26.6949	24.9735	27.6349	25.7116
"YAR007C"	33.016	34.1136	30.7159	30.6072	30.7669	30.7098	33.0429	30.5723	31.3079	26.447	29.8532	34.644
"YAR008W"	23.4529	19.8989	25.8128	25.0924	19.958	22.1101	21.4425	19.034	22.6169	17.7476	20.533	22.1463
"YAR014C"	32.0466	30.159	31.5076	30.8441	33.3863	27.9209	29.7249	29.2452	30.9261	21.745	27.2787	32.1115
"YAR015W"	91.0366	95.549	97.87	94.4723	101.963	86.9868	89.2541	92.0011	93.6104	74.9639	82.2638	88.1158
"YAR018C"	17.1862	13.4668	15.0257	14.3179	16.7166	16.0866	17.0657	15.6493	17.2321	15.315	14.5863	15.1476
"YAR019C"	6.41376	6.04244	4.47888	4.89298	5.51789	5.32871	5.65038	6.7902	5.43524	5.9268	6.30352	6.56972
"YAR020C"	8.71171	7.16214	8.30635	5.68653	4.97465	3.31255	4.52339	1.87407	0	9.22003	0	2.07075
"YAR023C"	6.82989	5.10735	5.4011	5.80894	5.04416	6.08472	5.09707	5.68313	4.95372	4.59064	5.82307	5.4504
"YAR027W"	52.7834	49.5979	54.5321	43.2129	44.6308	43.348	57.0865	49.2999	51.8503	47.448	56.6206	54.996
"YAR028W"	19.945	17.4109	24.0591	16.5797	22.441	17.136	25.5901	23.9337	18.1604	18.8527	20.599	24.2672
"YAR029W"	28.0725	20.6426	30.8632	13.224	24.931	15.2967	26.9487	19.4558	33.6755	17.0461	25.8189	22.7496
"YAR031W"	6.76433	7.1779	10.1088	5.28715	6.95806	7.78137	10.1565	7.97703	8.11152	8.03262	8.68194	9.99482
"YAR033W"	19.0795	17.4786	19.2451	18.6172	22.1521	19.3647	18.6908	18.3525	17.4776	20.7933	18.9391	22.753
"YAR035C-A"	0	0	0	0	0	0	0	0	0	0	0	0
"YAR035W"	3.03916	3.13951	2.56933	3.38849	3.6302	2.71152	2.2082	3.08434	2.52024	2.15667	2.68197	3.38142
"YAR042W"	13.9313	11.9622	12.8765	12.0939	12.852	11.9953	12.8535	11.7647	15.3799	11.6218	11.8466	14.5082
"YAR050W"	1.27008	0.950647	0.668056	0.628836	1.48743	0.849717	0.849611	1.16843	1.44915	1.20888	1.63204	1.00278
"YAR064W"	0	0	0.28802	0	0	0	0	0	0	0	0	0
"YAR066W"	0.035887	0.0193445	0.0221363	0.0268332	0.01502	0.625735	0.0196623	0.024359	0.025427	0.0245472	0.0276225	0.0265322
"YAR068W"	21.5765	19.0102	20.2194	22.7407	17.948	18.5414	22.4765	18.766	20.7518	21.1964	21.2961	16.2619
"YAR071W"	3.9671	4.86635	4.36503	5.18958	4.98566	5.65388	5.04448	4.11781	5.34236	4.92575	5.94049	5.5785
"YBL001C"	286.673	306.282	261.953	321.658	269.278	258.428	291.127	255.418	255.227	262.648	267.966	253.308
"YBL002W"	1344.66	1334.96	1306.36	1307.54	1314.71	1319.28	1293.08	1263.54	1266.37	1469.95	1315.44	1309.41
"YBL003C"	1121.93	1166.31	1138.08	1124.06	1040.65	1055.48	1111.42	965.528	986.297	804.443	969.323	1011.88
"YBL004W"	15.0852	12.5477	11.7284	14.0018	13.2528	12.2502	13.5221	11.8767	16.3748	11.5678	15.0403	14.7828
"YBL005W"	6.8828	7.72663	6.2933	7.47503	7.4388	7.52533	7.72626	7.00679	8.49782	8.77444	8.35415	7.78683
"YBL006C"	78.8142	70.9318	76.3576	73.1563	71.7925	65.9659	71.952	66.9177	74.9986	54.4061	61.1316	70.2855
"YBL007C"	44.2849	45.2009	41.1676	43.0437	44.9472	39.0816	47.2506	42.4857	49.6846	43.0746	46.5492	50.0792
"YBL008W"	10.9846	9.60202	9.7373	10.5115	10.8951	8.62654	10.9979	9.34733	9.8127	8.29909	9.50235	10.0747
"YBL008W-A"	0	0	0	0	0	1.69601	0	0	0	0	0	1.06262
"YBL009W"	19.7696	20.5245	21.7301	21.2918	20.0381	19.7919	20.7306	18.4421	22.0083	19.4686	21.6934	21.9935
"YBL010C"	13.332	16.6459	12.6821	14.6908	15.0554	14.6894	14.1898	14.8056	12.2667	10.3304	10.6345	14.3335
"YBL011W"	36.8771	37.3962	37.861	36.3613	41.6283	35.6693	38.1322	39.925	38.401	38.3309	37.7503	35.4664
"YBL013W"	2.66356	3.24249	3.47816	2.60695	3.12612	2.4029	2.71861	3.08581	4.24954	2.74752	3.27455	4.25808
"YBL014C"	12.0323	11.2083	11.2466	10.9797	12.1863	10.8776	11.4062	10.7769	12.4412	8.18716	10.9788	12.1685
"YBL015W"	20.3582	18.8431	18.8996	17.3459	17.9506	17.4645	19.7899	17.5359	18.6255	19.712	22.3113	19.5894
"YBL016W"	41.6573	38.2141	39.6277	35.9324	40.0429	39.8021	46.9017	40.9697	36.8352	40.4116	40.259	42.1774
"YBL017C"	24.1469	25.0667	22.7118	22.571	24.056	19.6031	25.1091	21.6803	26.0244	22.1824	25.241	26.613
"YBL018C"	69.7275	76.7541	85.9488	74.0162	71.1547	85.8638	67.4718	57.8961	69.2316	67.0816	66.7338	87.3115
"YBL019W"	6.41447	6.22829	6.08011	6.41356	6.68064	5.41663	7.20008	6.03016	7.7527	5.35867	4.80179	6.83012
"YBL020W"	30.4373	27.5803	27.401	28.4215	30.959	30.7103	27.5561	28.7091	29.8569	29.6509	26.4321	30.1322
"YBL021C"	30.3831	29.8949	30.783	23.8427	24.957	26.2283	31.8833	25.3469	28.6579	21.1505	20.9285	26.5143
"YBL022C"	31.4787	29.9719	28.5992	30.313	31.4949	26.2584	29.1833	25.1548	32.9821	22.0982	27.1908	29.417
"YBL023C"	11.6314	11.4523	11.3996	10.7211	9.49056	10.8968	13.3098	10.1858	12.8012	10.3071	10.8191	12.1893
"YBL024W"	52.2229	47.2434	49.9403	50.0835	54.0268	47.6784	51.3376	45.1304	55.0524	41.9265	49.3102	52.8221
"YBL025W"	25.3575	21.7915	27.0723	27.4007	28.9034	19.6826	25.3382	21.6861	23.6825	14.9437	25.7083	22.8552
"YBL026W"	223.882	216.785	187.491	223.263	184.086	211.348	200.038	192.026	215.315	175.974	197.682	219.831
"YBL027W"	2487.42	2537.69	2773.37	2616.55	2438.74	2428.87	2636.8	2504.33	2548.2	1889.47	2299.31	2529.19
"YBL028C"	190.014	202.075	214.113	239.665	198.46	240.458	228.929	191.447	219.622	149.113	179.131	211.685
"YBL029C-A"	42.2414	42.8884	36.559	35.8799	41.124	43.9365	44.9253	41.3732	38.9407	43.4444	41.8237	52.1048
"YBL029W"	1.39278	1.96638	2.09236	1.06625	1.43252	2.75791	1.72886	1.33081	0.996343	1.38882	1.11511	1.66978
"YBL030C"	311.616	329.558	303.101	314.82	344.876	354.15	316.731	369.832	328.559	400.816	352.314	302.958
"YBL031W"	12.3549	10.4955	12.4585	11.0023	9.94623	11.1916	12.3722	7.87495	10.1822	6.832	7.3845	11.611
"YBL032W"	124.784	122.693	126.88	126.073	130.26	129.19	126.628	129.722	131.544	155.153	121.959	124.841
"YBL033C"	21.0224	22.8212	22.0968	19.0014	21.2763	24.0616	21.1463	19.1576	20.7515	17.6392	18.9389	24.0445
"YBL034C"	5.96278	4.36703	4.16789	5.08013	4.14169	4.87973	4.86057	4.71614	5.88559	4.68628	4.49932	5.39474
"YBL035C"	14.7306	12.8562	11.6296	11.3156	12.9967	12.0693	15.0282	11.0111	14.603	11.4866	10.5671	13.6122
"YBL036C"	68.5058	65.7367	71.5896	71.9961	68.3334	70.9446	70.111	64.0361	71.1096	55.6702	57.6566	75.4177
"YBL037W"	9.85866	10.126	7.8807	9.87796	9.03665	9.24121	9.86292	8.37827	8.98564	9.24571	10.7485	11.0373
"YBL038W"	30.3394	33.7608	35.5474	36.3616	28.984	31.4691	30.2642	32.8505	31.4625	18.5616	27.6098	30.8232
"YBL039C"	134.724	128.428	132.386	132.273	135.586	128.977	126.215	119.96	139.213	99.5873	129.248	130.278
"YBL039W-B"	47.4152	38.985	42.3509	45.0453	42.239	42.2208	46.3823	37.8776	39.069	34.0457	42.4992	43.6747
"YBL040C"	117.375	111.064	119.161	120.858	121.384	120.816	119.508	118.543	107.477	130.862	112.705	106.256
"YBL041W"	170.552	169.667	173.065	168.238	168.494	171.669	164.903	163.169	171.567	125.67	152.081	165.22
"YBL042C"	26.2247	28.703	24.4964	24.8771	24.5465	21.5529	24.8917	25.1421	22.2084	27.8113	23.2763	21.9621
"YBL043W"	0.833742	0.927502	0.553885	1.08149	0.13425	1.06483	0.719087	0.908313	0.318164	1.18133	0.59287	0.66594
"YBL044W"	2.0714	1.37005	1.21484	0	1.19378	1.18252	0.714012	1.34266	2.37668	1.75702	1.32742	2.47886
"YBL045C"	71.8995	71.8349	71.4373	72.9907	74.6905	90.2875	68.3471	71.4486	77.4436	71.3299	83.075	72.0707
"YBL046W"	14.7484	15.3756	16.8951	15.5441	16.4559	16.5997	14.426	16.4323	17.128	10.6145	14.5128	16.0379
"YBL047C"	36.2232	37.7306	31.4243	36.1133	36.781	29.1496	36.093	33.2962	37.9248	35.9182	38.1503	37.5314
"YBL049W"	0.677329	1.96323	1.66133	1.50022	1.62778	2.25705	1.74971	2.19776	1.55298	0.71835	0.722551	2.43166
"YBL050W"	54.6193	61.0261	67.7586	61.5545	62.2982	50.8933	62.9425	61.4944	61.9836	46.8783	57.2688	63.3312
"YBL051C"	33.699	28.333	26.9004	29.672	26.9054	33.5052	29.6383	30.1119	36.9533	29.4402	27.6052	29.5815
"YBL052C"	16.1309	14.856	16.3809	14.4714	15.5069	13.8317	14.9067	14.5566	15.7928	12.7079	15.3576	15.1803
"YBL054W"	22.2402	21.3679	18.8802	23.6619	24.6558	25.7681	22.2407	19.5836	23.7559	20.3221	25.2726	24.1834
"YBL055C"	22.8417	22.9192	24.904	22.5301	25.7697	20.0189	20.7917	21.426	22.8862	15.3816	25.6197	21.8552
"YBL056W"	89.6951	83.7195	82.4807	78.1879	79.8265	79.6981	85.3657	72.4192	82.6342	75.3138	94.483	88.6891
"YBL057C"	73.4559	74.0237	80.1954	87.2972	74.7629	76.5679	75.6731	77.6686	82.4275	68.0339	79.4884	72.9724
"YBL058W"	92.0894	87.1892	90.6579	93.6221	95.8693	86.7805	93.1041	90.2543	91.7683	72.7102	84.4751	91.2287
"YBL059C-A"	51.66	55.9185	40.0579	57.6629	42.3542	51.0678	55.8137	43.8513	44.9489	43.6337	50.9671	44.4255
"YBL059W"	9.60493	10.0281	9.71598	10.2073	9.85028	11.9094	9.32988	6.66046	4.68063	9.76328	8.27759	6.85107
"YBL060W"	7.44373	8.16272	6.86632	7.51361	6.66249	6.77881	6.32003	5.83134	6.60303	5.06348	6.3991	7.92521
"YBL061C"	25.5773	24.3987	25.9005	24.2571	23.7064	24.6034	27.364	22.7597	27.2324	21.494	21.8031	26.3057
"YBL063W"	5.18494	4.86016	5.43593	5.63713	5.43952	5.27	4.96159	5.13012	6.8968	3.78327	5.73729	5.90517
"YBL064C"	39.3695	44.4474	43.9947	39.232	35.9339	34.7143	43.3576	39.6308	36.9613	34.8901	32.5497	35.9082
"YBL066C"	6.53461	6.91517	5.32881	5.87148	6.11867	6.56007	6.50841	5.79159	6.98283	5.92917	6.71103	6.65061
"YBL067C"	19.6642	22.8679	21.8885	22.0615	20.0059	19.5759	19.2238	19.3631	20.8922	17.8507	20.3633	22.1903
"YBL068W"	56.1713	54.9821	59.4726	58.152	52.4441	60.2301	59.4492	56.9003	53.4234	53.251	65.2376	58.9128
"YBL069W"	28.2106	26.0547	25.5939	28.1827	29.9962	26.4539	24.8831	26.5835	25.5397	26.8365	25.4996	25.2357
"YBL071C-B"	8.68838	0	0	0	4.1954	4.12885	3.712	0	4.99198	0	9.32029	0
"YBL071W-A"	138.771	133.499	117.1	143.773	134.513	155.284	144.634	121.929	173.776	129.698	125.762	127.131
